Real First Packet,doctets/Duration
1359992824.59,7125.0
1359993197.338,3562.5
1359993232.682,191.5340909090909
1359993260.946,6375.0
1359993271.911,8261.71875
1359993271.911,3166.6666666666665
1359993272.229,8460.9375
1359993270.04,21898.4375
1359993271.674,15078.125
1359993271.738,11005.208333333334
1359993271.673,3670.1388888888887
1359993271.865,1583.3333333333333
1359993271.737,4720.982142857143
1359993271.801,11015.625
1359993272.055,4723.214285714285
1359993272.054,11005.208333333334
1359993272.181,8464.84375
1359993272.308,8261.71875
1359993253.593,3988.28125
1359993259.234,3203.9111635220124
1359993261.07,2892.4632352941176
1359993273.195,176782.8125
1359993273.153,644304.6875
1359993271.93,323.79518072289153
1359993273.07,72.81650641025641
1359993283.498,6437.5
1359993313.696,2156.25
1359993369.149,1453.125
1359993368.023,1482.371794871795
1359993368.155,348718.75
1359993369.462,10546.875
1359993372.62,1437.5
1359993370.472,7164.84375
1359993371.335,11346.354166666666
1359993371.956,102609.375
1359993414.341,1636.71875
1359993456.75,39109.375
1359993456.814,19554.6875
1359993456.813,19617.1875
1359993456.939,39234.375
1359993457.09,19554.6875
1359993464.444,41812.5
1359993464.571,19554.6875
1359993460.603,15531.25
1359993461.811,13015.625
1359993463.51,11880.208333333334
1359993463.892,17710.9375
1359993463.7,13416.666666666666
1359993467.091,27976.5625
1359993465.653,39093.75
1359993467.978,45015.625
1359993464.534,1075.6316489361702
1359993468.306,39093.75
1359993467.689,6876.420454545454
1359993467.942,8218.75
1359993468.132,8218.75
1359993472.363,3581.25
1359993472.744,4472.65625
1359993471.389,2270.8333333333335
1359993472.796,9578.125
1359993472.856,126742.1875
1359993472.856,25218.75
1359993472.92,333078.125
1359993472.92,12359.375
1359993473.111,110687.5
1359993472.791,34281.25
1359993472.791,35093.75
1359993472.855,482015.625
1359993472.919,122710.9375
1359993473.046,14218.75
1359993473.11,28187.5
1359993471.746,5622.596153846154
1359993472.767,344140.625
1359993472.831,36281.25
1359993472.895,41093.75
1359993472.895,17140.625
1359993472.575,45385.416666666664
1359993473.086,29000.0
1359993473.15,22062.5
1359993472.766,33968.75
1359993472.766,41718.75
1359993472.894,28968.75
1359993473.021,79257.8125
1359993473.085,24500.0
1359993473.149,100562.5
1359993473.216,37593.75
1359993456.986,99359.375
1359993458.025,229.55572289156626
1359993457.151,3976.5625
1359993478.718,22682.291666666668
1359993457.452,3851.5625
1359993461.469,7906.25
1359993463.923,7807.589285714286
1359993463.923,7887.5
1359993463.987,37313.920454545456
1359993463.986,37486.979166666664
1359993464.559,15687.5
1359993464.553,21312.5
1359993464.813,9928.125
1359993462.85,2375.600961538462
1359993462.824,8736.825980392156
1359993462.824,3766.9547872340427
1359993463.843,9191.071428571428
1359993463.843,33980.46875
1359993463.906,34911.93181818182
1359993463.906,2182.03125
1359993463.842,38007.21153846154
1359993463.906,37973.557692307695
1359993464.478,15312.5
1359993464.478,19062.5
1359993464.605,152588.54166666666
1359993463.856,17299.63235294118
1359993464.543,116802.08333333333
1359993464.543,39767.857142857145
1359993464.543,97817.70833333333
1359993462.545,28490.271226415094
1359993462.545,17134.728773584906
1359993462.791,16618.371212121212
1359993462.791,49934.18560606061
1359993464.509,51183.03571428572
1359993464.509,83583.33333333333
1359993464.509,58437.5
1359993464.889,247.4937343358396
1359993487.277,10989.583333333334
1359993487.468,17710.9375
1359993464.936,16855.46875
1359993465.121,64757.8125
1359993465.188,3998.6979166666665
1359993465.124,98119.79166666667
1359993465.124,7647.569444444444
1359993466.137,69500.0
1359993467.767,4685.76388888889
1359993465.07,6210.9375
1359993465.07,27619.791666666668
1359993486.351,24531.25
1359993486.415,56265.625
1359993486.542,59093.75
1359993486.542,89406.25
1359993486.542,71843.75
1359993486.67,49968.75
1359993486.928,7625.0
1359993486.928,6375.0
1359993486.928,11187.5
1359993486.988,6368.75
1359993487.052,9268.75
1359993487.052,77554.6875
1359993487.052,7550.78125
1359993487.052,10901.041666666666
1359993487.179,4520.833333333333
1359993487.179,6609.375
1359993487.179,1707.5892857142858
1359993486.987,7625.0
1359993486.987,6156.25
1359993486.987,6156.25
1359993487.05,28479.910714285714
1359993487.114,3803.5714285714284
1359993487.178,3812.5
1359993487.178,1953.125
1359993487.178,1725.4464285714287
1359993487.561,4746.09375
1359993487.625,11026.785714285714
1359993491.527,37781.25
1359993491.654,43843.75
1359993491.654,20281.25
1359993491.525,194734.375
1359993491.525,32531.25
1359993491.589,215796.875
1359993491.589,83718.75
1359993491.589,350500.0
1359993491.781,17062.5
1359993491.781,10921.875
1359993488.069,76000.0
1359993491.653,54843.75
1359993488.068,9687.5
1359993491.844,20375.0
1359993491.907,4868.75
1359993491.907,19468.75
1359993491.907,4223.958333333333
1359993484.856,1711.2771739130435
1359993492.533,9281.25
1359993492.533,21093.75
1359993489.652,111531.25
1359993490.035,35687.5
1359993486.513,199296.875
1359993486.513,129531.25
1359993486.513,83156.25
1359993486.641,31070.3125
1359993486.895,415109.375
1359993486.895,21812.5
1359993490.735,12140.625
1359993487.023,15393.75
1359993487.023,19904.296875
1359993487.023,24506.696428571428
1359993486.894,6375.0
1359993490.862,22667.1875
1359993486.958,7625.0
1359993486.958,12114.583333333334
1359993487.086,29029.01785714286
1359993487.15,4015.625
1359993487.149,5947.916666666667
1359993487.149,5924.107142857143
1359993487.405,9468.75
1359993487.596,3406.25
1359993491.498,19218.75
1359993491.498,73343.75
1359993491.562,221546.875
1359993491.562,23968.75
1359993491.562,36531.25
1359993491.488,283562.5
1359993491.616,22031.25
1359993491.615,111406.25
1359993491.679,181921.875
1359993491.743,19375.0
1359993491.743,17062.5
1359993491.742,17062.5
1359993491.742,17312.5
1359993488.03,17375.0
1359993491.806,17375.0
1359993488.03,25312.5
1359993488.03,17921.875
1359993491.806,18625.0
1359993491.869,4881.25
1359993491.869,13753.125
1359993491.933,24625.0
1359993491.997,24625.0
1359993491.933,13125.0
1359993466.064,68750.0
1359993492.505,26375.0
1359993489.751,41697.916666666664
1359993489.751,12015.625
1359993489.879,3364.1826923076924
1359993469.003,328515.625
1359993469.13,64566.40625
1359993469.383,8437.5
1359993469.383,8437.5
1359993468.924,376179.6875
1359993469.304,8437.5
1359993469.304,8437.5
1359993470.861,223.90292553191492
1359993491.277,1283.8541666666667
1359993493.523,4072.544642857143
1359993496.334,19375.0
1359993496.334,17625.0
1359993496.333,42625.0
1359993496.308,21875.0
1359993496.308,43687.5
1359993496.243,168671.875
1359993480.266,38984.375
1359993461.609,2709.6456692913384
1359993502.056,4484.375
1359993502.12,2242.1875
1359993502.119,2242.1875
1359993502.985,4484.375
1359993502.981,4484.375
1359993503.045,2242.1875
1359993503.049,2195.3125
1359993503.048,2195.3125
1359993488.065,2211.841425619835
1359993462.684,4876.051682692308
1359993462.684,5269.5562900641025
1359993486.521,173.32974137931035
1359993487.943,20000.0
1359993520.789,3647955.7291666665
1359993520.533,4386.71875
1359993502.52,21859.375
1359993504.724,86078.99305555556
1359993507.959,11679.6875
1359993507.767,6726.5625
1359993571.345,2156.25
1359993571.217,2156.25
1359993601.117,1816.40625
1359993604.317,8100.0
1359993602.997,1309.375
1359993600.494,242.97823886639677
1359993600.557,42.8734756097561
1359993616.111,4828.125
1359993601.125,11085.336538461539
1359993603.433,7193.75
1359993661.635,5078.125
1359993661.648,2156.25
1359993646.345,3002.7573529411766
1359993751.199,23781.25
1359993751.327,56953.125
1359993751.47,601.3586956521739
1359993766.515,1161.6018700787401
1359993766.515,1565.4527559055118
1359993766.706,398.77988047808765
1359993766.249,5708.131602112676
1359993766.439,1558.8705708661416
1359993766.63,2294.1875
1359993766.82,24515.625
1359993784.594,301.54581850533805
1359993811.168,302.0833333333333
1359993802.548,3996.09375
1359993802.792,11679.6875
1359993832.528,103.64029255319149
1359993844.429,2156.25
1359995258.234,630.2083333333334
1359995415.08,16265.625
1359995417.245,20378.90625
1359995622.612,3562.5
1359995652.715,1493.421052631579
1359995655.159,8928.92530487805
1359995685.377,2625.0
1359996124.639,6276.041666666667
1359996152.311,5031.25
1359996251.767,1322.9166666666667
1359996659.3,3562.5
1359996659.166,126.83823529411764
1359996660.227,1437.5
1360003705.375,59.5703125
1360003739.985,15.184859154929578
1360003854.071,732.9545454545454
1360003877.268,29243.75
1360004127.478,18770.089285714286
1360004138.558,2857.1428571428573
1360004122.264,718.75
1360004122.264,2156.25
1360004132.587,3759.2329545454545
1360004134.43,4142.578125
1360004137.493,10803.977272727274
1360004138.537,8631.944444444445
1360004138.792,12537.5
1360004138.98,13205.729166666666
1360004138.324,24322.916666666668
1360004138.894,13632.8125
1360004139.019,14703.125
1360004140.39,2048.828125
1360004149.724,28501.5625
1360004169.912,4769.2307692307695
1360004167.094,7762.5
1360004170.546,12937.5
1360004168.525,12438.244047619048
1360004166.436,8303.90625
1360004135.945,3778.937344527363
1360004168.09,5990.625
1360004172.18,10644.53125
1360004173.134,1343.2252798507463
1360004192.375,2156.25
1360004192.314,2156.25
1360004175.044,17020.833333333332
1360004175.043,10437.5
1360004175.107,20083.333333333332
1360004174.455,11697.443181818182
1360004174.579,17781.25
1360004174.352,28362.21590909091
1360004174.537,10833.333333333334
1360004217.634,2437.5
1360004217.569,2156.25
1360004217.554,2437.5
1360004229.235,61152.34375
1360004229.669,3421.875
1360004229.669,22645.089285714286
1360004229.669,4604.166666666667
1360004230.116,7208.333333333333
1360004226.404,6812.5
1360004230.18,33250.0
1360004226.596,18273.4375
1360004226.851,19334.821428571428
1360004227.489,4382.8125
1360004228.51,1950.3676470588236
1360004228.574,165890.625
1360004228.574,2727.0833333333335
1360004228.638,42024.739583333336
1360004228.637,21123.697916666668
1360004228.637,5206.25
1360004228.957,17546.875
1360004232.667,22875.0
1360004229.722,9125.0
1360004229.658,18041.666666666668
1360004227.468,2094.5723684210525
1360004227.66,3898.4375
1360004228.745,2465.0735294117644
1360004228.872,4738.28125
1360004228.872,2127.6041666666665
1360004229.064,14890.625
1360004229.127,132906.25
1360004232.769,9398.4375
1360004217.729,21052.734375
1360004218.325,10833.333333333334
1360004218.324,7122.395833333333
1360004218.451,8024.305555555556
1360004218.369,7806.640625
1360004218.496,3447.65625
1360004218.495,3441.840277777778
1360004246.62,99242.1875
1360004246.556,59093.75
1360004246.747,42406.25
1360004246.811,21281.25
1360004247.129,17870.535714285714
1360004247.192,24984.375
1360004248.342,33846.354166666664
1360004248.341,3239.5833333333335
1360004245.961,24531.25
1360004246.088,55453.125
1360004246.535,82343.75
1360004246.662,17418.75
1360004246.789,33135.416666666664
1360004246.789,23447.916666666668
1360004245.249,2528.125
1360004247.936,11036.458333333334
1360004248.319,11026.785714285714
1360004248.447,6375.0
1360004248.703,11843.75
1360004248.767,229835.9375
1360004248.767,8937.5
1360004221.916,3518.75
1360004222.541,2723.4375
1360004248.451,2736.1111111111113
1360004249.498,2025.9885204081631
1360004249.561,29796.875
1360004249.625,52369.791666666664
1360004249.176,6620.535714285715
1360004249.239,22631.696428571428
1360004249.174,7268.75
1360004255.693,7041.666666666667
1360004248.652,3169.6428571428573
1360004248.524,1822.1153846153845
1360004248.844,7625.0
1360004255.695,12312.5
1360004255.682,17843.75
1360004256.193,6578.125
1360004256.129,6776.041666666667
1360004249.472,56640.625
1360004249.15,10763.392857142857
1360004249.15,4665.178571428572
1360004255.658,8875.0
1360004255.657,4575.0
1360004255.848,13562.5
1360004256.104,3065.972222222222
1360004256.424,4015.625
1360004257.945,37593.75
1360004257.88,35843.75
1360004258.2,19375.0
1360004261.91,27476.5625
1360004263.056,12015.625
1360004263.056,31273.4375
