Real First Packet,doctets/Duration
1360072954.403,4062.5
1360072954.722,4025.0000000000005
1360072955.169,4168.75
1360072953.847,9111.979166666666
1360072943.732,325.56497175141243
1360073003.502,78487.98076923078
1360073192.825,16.843971631205672
1360073469.117,12492.1875
1360073469.244,71117.1875
1360073469.046,73234.375
1360073473.445,1613.7152777777776
1360073480.203,53099.43181818182
1360073480.267,107553.81944444444
1360073479.778,7353.537087912087
1360073480.869,5656.25
1360073492.979,751.8629807692307
1360073492.434,893.3069029850747
1360073492.178,2744.032118055555
1360073480.832,4357.941937869822
1360073658.169,338093.75
1360073658.063,433757.8125
1360074701.375,16093.75
1360074705.812,27240.885416666668
1360075458.925,401875.0
1360075458.989,638484.375
1360075459.091,9156.25
1360075563.157,19567.708333333332
1360075563.665,20583.333333333332
1360075565.744,5178.977272727272
1360075564.746,19557.291666666668
1360076535.069,19525.66964285714
1360076689.702,42.75
1360850626.56,62343.75
1360850627.786,22921.875
1360850628.617,150296.875
1360850628.467,25171.875
1360850628.851,17265.625
1360850631.844,12058.035714285714
1360850631.908,6816.1057692307695
1360850631.864,1429.6875
1360850632.691,10328.125
1360850632.691,10312.5
1360850633.265,254093.75
1360850639.041,46984.375
1360850639.616,10652.34375
1360850639.616,8046.875
1360850639.616,2032.4519230769229
1360850639.551,25765.625
1360850639.743,24515.625
1360850638.268,2554.6875
1360850638.903,110796.875
1360850639.03,24784.375
1360850639.542,25765.625
1360850639.541,36828.125
1360850639.605,11585.9375
1360850639.605,8890.625
1360850643.276,36598.958333333336
1360850643.084,653.0539772727273
1360850643.531,30777.34375
1360850643.851,35578.125
1360850645.256,31621.09375
1360850645.256,11617.1875
1360850645.191,20921.875
1360850645.255,5855.46875
1360850645.319,24515.625
1360850645.51,20984.375
1360850643.65,2345.1704545454545
1360850643.521,12710.9375
1360850639.68,3399.038461538462
1360850644.34,24171.875
1360850644.403,22493.75
1360850645.234,7828.125
1360850645.234,20171.875
1360850645.234,24515.625
1360850645.489,13867.1875
1360850630.777,51.075268817204304
1360850649.802,21796.875
1360850649.223,41307.291666666664
1360850656.768,20984.375
1360850656.703,19265.625
1360850649.022,112421.875
1360850648.958,21421.875
1360850654.014,32375.0
1360850654.588,20984.375
1360850654.524,19265.625
1360850649.211,25921.875
1360850649.275,24421.875
1360850649.34,40812.5
1360850655.851,16262.5
1360850639.311,3259.9311440677966
1360850657.772,41125.0
1360850657.836,55835.9375
1360850658.091,18458.333333333332
1360850658.535,35578.125
1360850658.919,17687.5
1360850657.758,30574.21875
1360850658.004,17703.125
1360850657.489,36953.125
1360850658.709,96234.375
1360850658.704,19265.625
1360850658.959,1196437.5
1360850671.023,55250.0
1360850671.023,30824.21875
1360850671.087,111671.875
1360850671.278,54833.333333333336
1360850668.334,40765.625
1360850669.101,19265.625
1360850671.532,35578.125
1360850671.787,16437.5
1360850670.821,55835.9375
1360850668.059,55804.6875
1360850668.314,14784.090909090908
1360850671.257,40765.625
1360850671.768,21796.875
1360850671.861,2304203.3811475406
1360850667.04,389.24632352941177
1360850674.433,23102.107558139538
1360850689.826,332546.875
1360850690.776,822640.625
1360852491.958,665093.75
1360852491.884,883703.125
1360852505.191,4190.972222222223
1360852505.127,17078.125
1360853658.56,30875.0
1360853659.642,14667.96875
1360853660.517,7121.09375
1360853657.104,3668.9453125
1360941915.66,186.95688502673795
1360942729.346,21.12676056338028
1360944995.771,1542.6136363636365
1360944998.48,3614.5833333333335
1360944996.393,651.0416666666666
1360944995.169,5754.934210526316
1360944994.446,1055.840163934426
1360944997.597,43.98148148148148
1360945134.208,225789.0625
1360945134.207,164101.5625
1360945151.571,329156.25
1360945411.507,40.76086956521739
1360946600.762,9750.44642857143
1360946935.781,595500.0
1360946935.725,423140.625
1360946935.484,9156.25
