Real First Packet,doctets/Duration
1359995642.176,25.80275229357798
1359997180.217,5389.508928571428
1359997180.217,5391.741071428572
1359997180.216,5397.321428571428
1359997181.087,138115.625
1359997179.441,755003.75
1359997180.137,5389.508928571428
1359997180.517,8260.416666666666
1359997181.192,16593.75
1359997187.612,9132.102272727274
1359997184.091,1731.5340909090908
1359997184.09,3467.4479166666665
1359997184.09,3050.78125
1359997184.792,14477.94117647059
1359997184.856,15835.9375
1359997184.856,33150.390625
1359997184.92,2413.0859375
1359997185.558,1790.625
1359997185.878,1713.28125
1359997182.29,7068.080357142857
1359997187.154,6161.458333333333
1359997187.154,4162.946428571428
1359997187.154,4127.232142857143
1359997187.601,2103.6931818181815
1359997184.079,2753.90625
1359997184.079,3328.125
1359997184.079,51123.79807692308
1359997184.772,63519.53125
1359997184.836,1620.4044117647059
1359997185.922,2040.2960526315787
1359997185.857,1500.78125
1359997187.135,22745.535714285714
1359997187.135,3048.828125
1359997187.134,13720.703125
1359997188.254,5774.038461538462
1359997194.388,753.5076530612245
1359997188.29,342.81517094017096
1359997197.499,6199.21875
1359997197.755,11160.9375
1359997199.64,1309.2105263157894
1359997203.608,7588.541666666667
1359997203.608,21015.625
1359997203.672,11382.8125
1359997203.671,2042.96875
1359997203.798,15460.9375
1359997203.925,46234.375
1359997203.925,157500.0
1359997203.993,24258.928571428572
1359997200.852,40000.0
1359997200.852,14671.875
1359997204.436,31853.693181818184
1359997200.851,19661.458333333332
1359997200.851,18021.875
1359997204.435,6805.397727272728
1359997201.171,49242.1875
1359997201.298,7382.211538461538
1359997205.136,30928.571428571428
1359997205.2,12809.895833333334
1359997205.136,41218.75
1359997205.135,3756.6964285714284
1359997205.71,27328.125
1359997205.71,18601.5625
1359997205.71,39351.5625
1359997205.517,66416.66666666667
1359997203.149,88012.5
1359997203.149,8046.875
1359997203.281,4303.125
1359997205.772,8632.8125
1359997203.276,4578.125
1359997203.467,6296.875
1359997203.658,2042.96875
1359997203.776,18117.1875
1359997203.966,22142.85714285714
1359997200.829,43411.458333333336
1359997200.829,16609.375
1359997204.417,25768.46590909091
1359997201.153,31867.1875
1359997204.412,5555.397727272728
1359997204.412,17767.045454545452
1359997204.476,3646.3068181818185
1359997201.276,2500.956632653061
1359997205.113,10518.229166666666
1359997205.113,6476.5625
1359997205.495,22036.458333333332
1359997205.687,201468.75
1359997205.687,12195.3125
1359997205.687,14320.3125
1359997205.815,53578.125
1359997203.127,16617.1875
1359997203.127,6338.541666666667
1359997203.125,9507.8125
1359997205.941,2560.9375
1359997203.316,1089.1544117647059
1359997179.118,3338.8671875
1359997179.499,2011.853448275862
1359997180.259,26187.5
1359997203.444,10945.3125
1359997181.098,1295.4963235294117
1359997207.0,1145.1822916666667
1359997212.117,1116.40625
1359997212.244,1625.9191176470588
1359997212.244,1549.4791666666667
1359997212.308,4793.9453125
1359997208.532,758.2720588235294
1359997213.393,8995.738636363636
1359997209.424,594.815340909091
1359997209.871,3339.84375
1359997209.999,748.6979166666666
1359997205.964,2669.791666666667
1359997205.964,452.4381868131868
1359997205.964,281.4217032967033
1359997211.404,2010.8173076923074
1359997211.404,2010.8173076923074
1359997206.604,546.5198863636364
1359997212.159,1189.967105263158
1359997212.222,2075.5208333333335
1359997213.307,2611.328125
1359997209.849,770.0892857142857
1359997205.943,324.0041208791209
1359997205.942,294.66911764705884
1359997190.359,18511.71875
1359997208.627,10989.583333333334
1359997215.0,3586.647727272727
1359997215.254,9115.74074074074
1359997215.254,17848.37962962963
1359997216.979,4067.708333333333
1359997213.84,2172.743055555555
1359997214.415,1465.144230769231
1359997214.415,2288.0859375
1359997214.414,3200.721153846154
1359997215.296,1069.375
1359997215.296,10135.0
1359997215.423,1544.375
1359997216.893,3129.6875
1359997216.893,5326.171875
1359997216.961,3005.2083333333335
1359997214.392,45739.955357142855
1359997214.391,2614.9553571428573
1359997214.391,2479.5673076923076
1359997208.433,2043.083158995816
1359997216.875,11880.208333333334
1359997224.724,3377.9560810810813
1359997225.172,1996.875
1359997225.172,1680.2083333333333
1359997225.171,7840.401785714285
1359997215.232,4324.979707792208
1359997223.424,5571.09375
1359997224.702,1054.375
1359997225.153,3960.9375
1359997225.153,1980.2083333333333
1359997225.149,11372.767857142857
1359997226.042,12712.890625
1359997226.042,2947.265625
1359997226.552,2444.3359375
1359997227.126,2657.3660714285716
1359997232.893,9359.375
1359997226.297,165.66932624113477
1359997212.587,3114.5833333333335
1359997216.81,4449.552210365853
1359997217.192,2668.7790247678017
1359997217.192,4783.184984520123
1359997217.118,762.8590838509317
1359997217.118,298.96156832298135
1359997236.574,75328.125
1359997217.117,39.88742236024845
1359997217.372,74.67973602484471
1359997232.984,1621.975806451613
1359997233.878,16732.38031914894
1359997233.878,639.0735815602837
1359997243.509,1487.5
1359997243.509,1487.5
1359997243.509,1239.5833333333333
1359997243.509,4140.625
1359997240.305,2156.25
1359997235.824,17618.607954545452
1359997235.951,29314.525462962964
1359997228.202,57.24617903930131
1359997228.27,1634.388706140351
1359997240.749,2983.9527027027025
1359997228.46,2023.1944444444446
1359997236.396,832.3019801980198
1359997228.459,932.0833333333334
1359997241.83,1325.7978723404256
1359997236.966,685.9546703296703
1359997242.022,10609.718406593407
1359997242.021,4078.125
1359997241.957,59978.190104166664
1359997242.021,7023.695054945055
1359997242.021,824.21875
1359997242.021,756.5104166666666
1359997242.212,1008.6805555555555
1359997242.212,1160.15625
1359997237.156,1807.7598314606741
1359997242.212,12925.071022727274
1359997242.212,12925.071022727274
1359997242.276,3718.75
1359997242.211,12925.071022727274
1359997242.275,3289.0625
1359997242.275,3718.75
1359997242.316,2277.616279069767
1359997242.761,7578.125
1359997242.761,8408.821202531646
1359997242.825,334.9358974358974
1359997242.825,331.9310897435898
1359997242.825,220.3525641025641
1359997242.824,4125.0
1359997242.824,3718.75
1359997242.76,3750.5933544303793
1359997242.824,220.3525641025641
1359997242.823,4546.875
1359997242.823,4140.625
1359997242.823,4140.625
1359997229.698,2743.3193462897525
1359997238.145,19985.23509174312
1359997230.463,11290.074481865284
1359997238.65,3143.2291666666665
1359997230.842,8660.010026737968
1359997230.846,24985.210561497326
1359997230.846,15730.782085561497
1359997238.653,4683.8942307692305
1359997243.388,10522.644927536232
1359997243.451,1487.5
1359997243.451,1656.25
1359997243.451,1859.375
1359997243.451,1487.5
1359997243.451,2760.4166666666665
1359997243.768,4125.0
1359997227.749,72.07446808510639
1359997243.748,3718.75
1359997235.747,6023.295454545455
1359997240.673,6193.359375
1359997240.992,1038.767688679245
1359997236.32,5704.053217821782
1359997228.383,360.4166666666667
1359997233.055,41.94078947368421
1359997228.383,2008.888888888889
1359997228.383,4084.513888888889
1359997241.755,20747.50664893617
1359997241.819,22671.875
1359997241.883,3347.826086956522
1359997244.954,109.375
1359997241.942,4539.0625
1359997241.942,4234.375
1359997241.946,4132.8125
1359997245.082,169375.0
1359997242.074,129.91573033707866
1359997242.137,12925.071022727274
1359997242.137,4132.8125
1359997242.137,4132.8125
1359997242.201,3718.75
1359997242.201,3718.75
1359997242.136,8626.420454545456
1359997242.2,3718.75
1359997242.2,3718.75
1359997242.328,1385.5377906976744
1359997242.328,1981.25
1359997242.264,558.8662790697675
1359997242.263,591.5697674418606
1359997237.335,961.4955357142857
1359997237.335,296.3235294117647
1359997242.642,1331.0185185185187
1359997245.334,2864.5833333333335
1359997242.71,5262.262658227848
1359997242.774,332.1314102564102
1359997245.525,13609.375
1359997242.581,415.8950617283951
1359997242.581,412.80864197530866
1359997242.773,3718.75
1359997242.773,4140.625
1359997242.773,4140.625
1359997242.581,4546.875
1359997234.622,2548.812984496124
1359997242.685,10865.506329113923
1359997242.685,11525.712025316456
1359997242.749,334.9358974358974
1359997242.749,242.58814102564102
1359997242.749,232.17147435897436
1359997242.749,3718.75
1359997242.748,3718.75
1359997242.748,4125.0
