Real First Packet,doctets/Duration
1360249411.926,74328.125
1360249443.683,37.356321839080465
1360249455.419,8.333333333333334
1360250330.14,101.5625
1360250333.84,24.62121212121212
1360250346.524,6.15530303030303
1360252739.979,3562.5
1360252739.268,4890.625
1360252740.029,350390.625
1360252739.785,134.765625
1360252740.778,1437.5
1360252742.054,124354.91071428571
1360252774.834,3497.916666666667
1360252771.759,2721.6569767441856
1360252774.764,3735.7954545454545
1360252775.943,12779.513888888889
1360252776.234,11871.651785714286
1360252802.503,134083.33333333334
1360252802.196,175195.3125
1360252803.469,22565.104166666668
1360252830.807,1078.125
1360252803.912,372926.7361111111
