window_start,week,mtf7w2,mwwcn6,lms8m4,dsdxd8,wgocn,jdf5g4,dtqb7d,habc8,ngtp8b,kedgm9,kab5zb,jfk535,mmvd,hnldm2,jdk88,ajdqnf,nm8c7,jmd5h8,anfz9,oro26b,kdcn,krh5f5,tah5z2,jlkm94,nhm2p3,tlgdq9,lpnb79,tjdpzd,wahbf,jrrgxf,zws2p8,ajb9b3,elnfh,pt7td,hmnhx4,mdvw5,jahq76,tcdzb7,jac345,mmg9n6,tkbn4,hemmb2,dlokv6,bay6g7,jlgwx,pecxc9,rrg3md,mjpg95,njd5zf,jhgn9,jkn7f,kah89f,amsh7,bpc42
1359982800,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,17.410714285714285,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8470.712560386475,0.001,6103.89250901752,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1742.1875,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,41.35338345864661,0.001,0.001,1638.357469512195
1359983027,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1819.82421875,0.001,594.3509615384614,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4895.915304681194,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,18.429487179487182,0.001,0.001,6007.8125,102.27272727272728
1359983254,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16.18705035971223,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8392.079399393395,0.001,3646.205357142857,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5140.610119047619,0.001,0.001,0.001,0.001,0.001,0.001,30.585106382978722,0.001,0.001,0.001,0.001,0.001,0.001,2742.9945031990073
1359983481,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.957446808510635,0.001,0.001,0.001,0.001,0.001,0.001,0.001,88.14658197641775,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4591.517857142858,0.001,0.001,0.001,65.32579787234043,0.001,0.001,0.001,0.001,0.001,0.001,89.09026739744228,0.001,7125.0,4039.573561966344
1359983708,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3010.6026785714284,0.001,187.5,0.001,0.001,0.001,0.001,0.001,0.001,11.421783625730994,0.001,0.001,0.001,656.25,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7125.0,99.2685475444096
1359983935,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1556.25,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4315.9572557471265,0.001,0.001,0.001,101.72872340425532,0.001,0.001,0.001,0.001,0.001,0.001,934.6324053955761,0.001,61891.3986499799,2107.797687536203
1359984162,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7125.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4549.714781746032,0.001,0.001,0.001,0.001,0.001,0.001,130.3161266924565,62490.57404891304,0.001,0.001,78.125,0.001,0.001,1224.3981979919479
1359984389,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16.07142857142857,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3599.6014030612246,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1893.3423913043482,0.001,7125.0,6047.398325358851
1359984616,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2423.908624620061,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,913.2275132275132,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4226.5625,110.52489177489176
1359984843,Week1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2946.459441489362,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2568.7274415517886,0.001,1122.333829365079,0.001,0.001,0.001,0.001,7643.48733836207,0.001,0.001,70.3125,150.89285714285714,0.001,3562.5,1632.0444438223738
